"name";"intcode";"barcode";"price";"dept";"tag";"unit"
"Модуль оперативной памяти 2ГБ DDR2 SDRAM Silicon Power SP002GBLRU800S01 (PC6400, 800МГц, CL5)";"316";"0000000000000";"1269.95";"2";"1";"шт."
"Системный блок (IXC32G210N500G31E2 CD 3.04 500GB IH,2GB,CR,GBбNW 512MB)";"317";"0000000000000";"14420";"3";"1";"шт."
"Бумага для фото-печати Lomond 0102022 (A4, 230г/кв.м, 50л., глянц.)";"318";"0000000000000";"274,95";"2";"1";"шт."
"Бумага для фото-печати Lomond 0102033 (A4, 200г/кв.м, 50л., матовая)";"319";"0000000000000";"184,95";"2";"1";"шт."
"Бумага для фото-печати Lomond 0102055 (A4, 160г/кв.м, 50л., глянц.)";"320";"0000000000000";"294";"2";"1";"шт"
"Монитор 21.5 «Acer» V226HQLb 1920х1080, 5 мс,черный (D-Sub)";"322";"0000000000000";"7207.91";"2";"1";"шт"
"Чистящее средство - влажные салфетки Buro ""BU-tft"" для LCD мониторов и экранов PDA (100шт./уп.)";"323";"0000000000000";"75";"2";"1";"шт."
"Акустическая система 2.1 Sven ""SPS-821"" сабвуфер 20Вт, сателлиты 2x10Вт, черный";"324";"0000000000000";"1749.95";"2";"1";"шт."
"Привод DVD±RW 8x8x8xDVD/24x24x24xCD Pioneer ""DVR-XD09T"", внешний, черный (USB2.0)	";"325";"0000000000000";"1974,95";"2";"1";"шт."
"Мобильный персональный компьютер Acer ""Aspire 5336-T352G25Mikk"" LX.R4G08.002 (Celeron DC T3500-2.10Г";"326";"0000000000000";"20886.06";"2";"1";"шт."
"Удлинитель USB 2.0 (тип A) (3.0м)";"328";"0000000000000";"60";"2";"1";"шт."
"Антивирус Dr-Web для Windows 12мес 1ПК(продление)";"329";"0000000000000";"654";"1";"1";"шт."
"Бумага для фото-печати Lomond 0102088 (10x15см, 180г/кв.м, 50л., матовая)";"330";"0000000000000";"44,95";"2";"1";"шт."
"Картридж HP ""121"" CC643HE (трехцветный) для DJ D2563/F4283";"331";"0000000000000";"670";"2";"1";"шт."
"Накопитель USB flash 8ГБ Silicon Power ""LuxMini 720"" SP008GBUF2720V1G, золотой (USB2.0)";"332";"0000000000000";"520";"2";"1";"шт."
"Модуль оперативной памяти 2ГБ DDR3 SDRAM Silicon Power ""SP002GBLTU133S02"" (PC10600, 1333МГц, CL9)";"333";"0000000000000";"1174.95";"2";"1";"шт."
"Интернет-камера A4Tech ""PK-30MJ"" (USB2.0) с микрофоном";"335";"0000000000000";"484,95";"2";"1";"шт."
"Интернет-камера A4Tech ""PKS-635K"" (USB2.0) с микрофоном";"336";"0000000000000";"419,95";"2";"1";"шт."
"Корпус Miditower IN-WIN ""IW-S606"", ATX, черно-серебр. (450Вт)	";"337";"0000000000000";"2859.95";"2";"1";"шт."
"Кулер Ice Hammer IH-4200B <SocketAM2/LGA775/1366/1156, HeatpipeDirect, тепловые трубки >";"338";"0000000000000";"564.95";"2";"1";"шт."
"Материнская плата SocketAM3 GIGABYTE ""GA-MA770T-UD3"" (AMD 770, 4xDDR3, U133, SATA II-RAID, PCI-E, SB";"339";"0000000000000";"2999.95";"2";"1";"шт."
"Видеокарта PCI-E 1024МБ HIS ""HD 5770 H577FK1GD"" (Radeon HD 5770, DDR5, 2xDVI, HDMI, DP)";"340";"0000000000000";"5259.95";"2";"1";"шт."
"Картридж Epson ""T09214A10"" (черный) для Stylus C91/CX4300";"341";"0000000000000";"454,95";"2";"1";"шт."
"Кулер для процессора Socket775 GlacialTech ""Igloo 5051 PWM (E) PP""";"342";"0000000000000";"254,95";"2";"1";"шт."
"Дискета Verbatim";"343";"0000000000000";"31";"1";"1";"шт."
"Накопитель USB flash 4ГБ Transcend ""JetFlash 300"" TS4GJF300 (USB2.0)";"344";"0000000000000";"289,95";"2";"1";"шт."
"Мобильный персональный компьютер Lenovo ""G550"" 59047126 (Pentium DC T4200-2.00ГГц, 2048МБ, 250ГБ, DV";"345";"0000000000000";"17910";"2";"1";"шт."
"Процессор Intel ""Celeron Dual-Core E3400"" (2.60ГГц, 1024КБ, 800МГц, EM64T) Socket775";"346";"0000000000000";"1719,95";"2";"1";"шт."
"Материнская плата SocketAM2+ GIGABYTE ""GA-MA770-US3"" rev.2.0 (AMD 770, 4xDDR2, U133, SATA II-RAID, P";"347";"0000000000000";"2609,95";"2";"1";"шт."
"Процессор AMD ""Athlon II X2 240"" (2.80ГГц, 2x1024КБ, HT2000МГц) SocketAM3";"348";"0000000000000";"1534";"2";"1";"шт."
"Жесткий диск 250ГБ WD "" 7200.8 3500418AS"" 7200об./мин., 8МБ (SATA II)";"350";"0000000000000";"1432.15";"2";"1";"шт."
"Жесткий диск 500ГБ Samsung ""SpinPoint F3 HD502HJ"" 7200об./мин., 16МБ (SATA II)";"351";"0000000000000";"1579.95";"2";"1";"шт."
"Вентилятор GlacialTech ""SilentBlade II GT12025-HDLA1"" d120мм, на шарикоподшипнике (питание от мат.п";"352";"0000000000000";"204.95";"2";"1";"шт."
"Вентилятор TITAN ""TFD-5020M12C"" d50мм, на шарикоподшипнике (питание от мат.платы)";"353";"0000000000000";"99.95";"2";"1";"шт."
"Вентилятор TITAN ""TFD-6025M12C"" d60мм, на шарикоподшипнике (питание от мат.платы)";"354";"0000000000000";"124.95";"2";"1";"шт."
"Материнская плата SocketAM2+ GIGABYTE ""GA-M68M-S2P"" (GeForce7025, 2xDDR2, U133, SATA II-RAID, PCI-E,";"355";"0000000000000";"1909.95";"2";"1";"шт."
"Накопитель USB flash 4ГБ Kingston ""DataTraveler 100 Generation 2"" DT100G2/4GB (USB2.0)	";"356";"0000000000000";"280";"2";"1";"шт."
"Диск DVD+RW 4.7ГБ ";"358";"0000000000000";"50";"2";"1";"шт"
"Футляр CD 2 прозрачный /200/";"359";"0000000000000";"10";"2";"1";"шт."
"Видеокарта PCI-E 512МБ ASUS ""EN8400GS/P(LP)"" (GeForce 8400 GS, DDR2, D-Sub, DVI)";"360";"0000000000000";"1369.99";"2";"1";"шт."
"Картридж Samsung ""ML-1210"" для ML-1010/1020/1210/1220/1250";"361";"0000000000000";"1100";"2";"1";"null"
"Тонер для HP LJ 1005/1006/1505 (фл. 100г) B&W Standart";"362";"0000000000000";"77";"2";"1";"шт."
"Тонер для HP LJ 1010/1012/1015/1018/1020 (110г) B&W Standart";"363";"0000000000000";"65";"2";"1";"шт."
"Тонер для HP LJ 1100/1150/3100 (фл. 140г) B&W Standart";"364";"0000000000000";"80";"2";"1";"шт."
"Тонер для HP LJ 1160/1320 (фл. 120г) AQC";"365";"0000000000000";"68,74";"2";"1";"шт."
"Фотобарабан для HP LJ 1010/1012/1015 (Fuji)";"366";"0000000000000";"110";"2";"1";"шт."
"Корпус Miditower Codegen ""3337-A2"" ATX, черно-серебр. (450Вт)";"367";"0000000000000";"1349,95";"2";"1";"шт."
"Кулер для процессора Socket775 Intel D34017 (медный сердечник)";"368";"0000000000000";"350";"2";"1";"шт."
"Процессор Intel ""Pentium Dual-Core E6500"" (2.93ГГц, 2МБ, 1066МГц, EM64T) Socket775";"369";"0000000000000";"2744,95";"2";"1";"шт."
"Удлинитель USB 2.0 (тип A) (0,9м)";"370";"0000000000000";"40";"2";"1";"шт."
"Клавиатура BTC ""5211"", 104+4кн., черный (USB)";"371";"0000000000000";"349";"2";"1";"шт."
"Видеокарта PCI-E 512МБ Palit ""GeForce GT 240"" (GeForce GT 240, DDR5, D-Sub, DVI, HDMI)";"372";"0000000000000";"2655";"2";"1";"шт."
"Акустическая система стерео Genius ""SP-E200""";"373";"0000000000000";"510";"2";"1";"шт."
